10/02/2024		 	STATE OF DELAWAR	2,076.23	42,852.08
10/01/2024		 	The Mayor & Coun	-913.40	40,775.85
09/30/2024		 	TOWN OF MDDLETWN	-312.44	41,689.25
09/27/2024		 	CHESAPEAKE	-35.12	42,001.69
09/22/2024		 	SERVICE CHARGE	-3.00	42,036.81
09/18/2024		 	STATE OF DELAWAR	6,135.22	42,039.81
09/12/2024		 	BK OF AMER VISA	-1,790.31	35,904.59
09/11/2024		 	THE NEW CASTLE C	-5,072.22	37,694.90
08/30/2024		 	TOWN OF MDDLETWN	-339.50	42,767.12
08/29/2024	2506	Transaction Image Available	INCLEARING CHECK	-6,000.00	43,106.62
08/29/2024		 	CHESAPEAKE	-30.59	49,106.62
08/28/2024		 	HOMESITE	-2,551.00	49,137.21
08/22/2024		 	SERVICE CHARGE	-3.00	51,688.21
08/21/2024		 	STATE OF DELAWAR	13,076.51	51,691.21
08/12/2024		 	BK OF AMER VISA	-472.21	38,614.70
07/31/2024		 	TOWN OF MDDLETWN	-252.22	39,086.91
07/26/2024		 	CHESAPEAKE	-36.61	39,339.13
07/22/2024		 	SERVICE CHARGE	-3.00	39,375.74
07/12/2024		 	BK OF AMER VISA	-797.96	39,378.74
07/10/2024		 	STATE OF DELAWAR	1,429.00	40,176.70
06/28/2024		 	TOWN OF MDDLETWN	-134.79	38,747.70
06/26/2024		 	STATE OF DELAWAR	1,619.80	38,882.49
06/24/2024		 	CHESAPEAKE	-28.78	37,262.69
06/22/2024		 	SERVICE CHARGE	-3.00	37,291.47
06/12/2024		 	BK OF AMER VISA	-20.12	37,294.47
06/12/2024		 	STATE OF DELAWAR	1,689.85	37,314.59
05/31/2024		 	TOWN OF MDDLETWN	-234.51	35,624.74
05/29/2024		 	STATE OF DELAWAR	2,158.70	35,859.25
05/24/2024		 	CHESAPEAKE	-36.26	33,700.55
05/22/2024		 	SERVICE CHARGE	-3.00	33,736.81
05/15/2024		 	STATE OF DELAWAR	2,089.00	33,739.81
05/13/2024		 	BK OF AMER VISA	-24.97	31,650.81
05/01/2024		 	DE DOR	-386.00	31,675.78
05/01/2024		 	STATE OF DELAWAR	2,089.03	32,061.78
04/30/2024		 	TOWN OF MDDLETWN	-284.28	29,972.75
04/23/2024		 	CHESAPEAKE	-61.96	30,257.03
04/22/2024		 	SERVICE CHARGE	-3.00	30,318.99
04/17/2024		 	IRS	-3,713.00	30,321.99
04/17/2024		 	STATE OF DELAWAR	2,089.00	34,034.99
04/12/2024		 	BK OF AMER VISA	-9.98	31,945.99
04/05/2024		 	STATE OF DELAWAR	2,089.01	31,955.97
03/28/2024		 	TOWN OF MDDLETWN	-302.46	29,866.96
03/25/2024		 	CHESAPEAKE	-80.32	30,169.42
03/22/2024		 	SERVICE CHARGE	-3.00	30,249.74
03/22/2024		 	STATE OF DELAWAR	2,089.00	30,252.74
03/12/2024		 	BK OF AMER VISA	-574.84	28,163.74
03/08/2024		 	STATE OF DELAWAR	2,089.03	28,738.58
02/29/2024		 	TOWN OF MDDLETWN	-157.00	26,649.55
02/23/2024		 	CHESAPEAKE	-109.22	26,806.55
02/23/2024		 	STATE OF DELAWAR	12,103.47	26,915.77
02/22/2024		 	SERVICE CHARGE	-3.00	14,812.30
02/20/2024		 	PROG DIRECT INS	111.86	14,815.30
02/20/2024		 	PROG DIRECT INS	103.39	14,703.44
02/20/2024		 	PROG DIRECT INS	4.00	14,600.05
02/12/2024		 	BK OF AMER VISA	-1,522.64	14,596.05
02/09/2024		 	STATE OF DELAWAR	1,689.85	16,118.69
02/02/2024	2504	Transaction Image Available	CASHED CHECK	-249.99	14,428.84
01/31/2024		 	PROG DIRECT INS	-107.39	14,678.83
01/31/2024		 	TOWN OF MDDLETWN	-93.79	14,786.22
01/29/2024	2503	Transaction Image Available	INCLEARING CHECK	-146.50	14,880.01
01/26/2024		 	STATE OF DELAWAR	1,754.88	15,026.51
01/25/2024		 	CHESAPEAKE	-118.52	13,271.63
01/22/2024		 	SERVICE CHARGE	-3.00	13,390.15
01/17/2024		 	VERIZON	-33.99	13,393.15
01/12/2024		 	STATE OF DELAWAR	1,781.55	13,427.14
01/03/2024		 	PROG DIRECT INS	-295.44	11,645.59
01/02/2024		 	Corp E Corp	-149.99	11,941.03
12/29/2023		 	TOWN OF MDDLETWN	-88.70	12,091.02
12/29/2023		 	STATE OF DELAWAR	1,758.95	12,179.72
12/28/2023		 	BK OF AMER VISA	-5,079.42	10,420.77
12/26/2023		 	BANK OF AMERICA	-741.00	15,500.19
12/26/2023		 	CHESAPEAKE	-48.26	16,241.19
12/26/2023		 	ALDI 71159	-13.84	16,289.45
